ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,CORPUS,COST,ESC_BEC_Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT_10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,MODEL_NAME,Max_Cells,Min_Cells,PROP_PITCH_REC,PROP_SIZE_REC,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT
nan,nan,188.0,70.0,UAM,nan,nan,2900.0,2.7199999999999998,0.3709603409195756,0.631722697195523,15.116279069767442,74.4,100.0,29000.0,embrax_Emrax188HV,embrax_Emrax188HV,116,58,nan,nan,,47.0,80.0,7.2
nan,nan,188.0,70.0,UAM,nan,nan,181.25,10.879999999999999,0.37958732559212394,0.16160348067792452,59.09090909090909,74.4,400.0,29000.0,embrax_Emrax188LV,embrax_Emrax188LV,30,15,nan,nan,,47.0,80.0,7.2
nan,nan,188.0,70.0,UAM,nan,nan,1288.888888888889,4.08,0.3882143102646721,0.44073676548524865,21.666666666666668,74.4,150.0,29000.0,embrax_Emrax188MV,embrax_Emrax188MV,81,41,nan,nan,,47.0,80.0,7.2
nan,nan,208.0,80.0,UAM,nan,nan,4100.0,2.7199999999999998,0.4323056312986021,0.8753521870054245,10.909090909090908,85.0,100.0,41000.0,embrax_Emrax208HV,embrax_Emrax208HV,149,75,nan,nan,,47.0,90.0,9.3
nan,nan,208.0,80.0,UAM,nan,nan,256.25,10.879999999999999,0.37728491458787083,0.1909859317102744,50.0,85.0,400.0,41000.0,embrax_Emrax208LV,embrax_Emrax208LV,32,16,nan,nan,,47.0,90.0,9.3
nan,nan,208.0,80.0,UAM,nan,nan,1601.5625,4.351999999999999,0.4401657336858493,0.5570423008216338,17.142857142857142,85.0,160.0,41000.0,embrax_Emrax208MV,embrax_Emrax208MV,95,48,nan,nan,,47.0,90.0,9.3
nan,nan,228.0,80.0,UAM,nan,nan,4688.090737240076,3.1279999999999997,0.5452800402924975,1.18064030511806,8.088235294117647,86.0,115.0,62000.0,embrax_Emrax228HV,embrax_Emrax228HV,184,92,nan,nan,,47.0,91.0,12.3
nan,nan,228.0,80.0,UAM,nan,nan,306.17283950617286,12.239999999999998,0.5020481189393838,0.2777977188513082,34.375,86.0,450.0,62000.0,embrax_Emrax228LV,embrax_Emrax228LV,44,22,nan,nan,,47.0,91.0,12.3
nan,nan,228.0,80.0,UAM,nan,nan,2421.875,4.351999999999999,0.5578312432659822,0.8681178714103384,11.0,86.0,160.0,62000.0,embrax_Emrax228MV,embrax_Emrax228MV,136,68,nan,nan,,47.0,91.0,12.3
nan,nan,268.0,85.0,UAM,nan,nan,5504.0,3.4,0.9045230857284831,2.1220659078919377,4.5,93.1,125.0,86000.0,embrax_Emrax268HV,embrax_Emrax268HV,217,109,nan,nan,,47.0,136.0,20.3
nan,nan,268.0,85.0,UAM,nan,nan,428.0,13.6,0.8109180967721051,0.5305164769729844,18.0,93.1,500.0,107000.0,embrax_Emrax268LV,embrax_Emrax268LV,68,34,nan,nan,,47.0,136.0,20.3
nan,nan,268.0,85.0,UAM,nan,nan,2963.98891966759,5.168,0.80118707961084,1.3793428401297596,6.923076923076923,93.1,190.0,107000.0,embrax_Emrax268MV,embrax_Emrax268MV,176,88,nan,nan,,47.0,136.0,20.3
